Document,Topic,Weight,ACN,State Reference,Primary Problem,Make Model Name,Function 1,Function 2,Function 3,Function 4,Flight Phase 1,Flight Phase 2,Flight Phase 3,Flight Phase 4,Flight Phase 5,Flight Phase 6
56,1,0.864207,993185,TX,Procedure,B737 Undifferentiated or Other Model,Ground,,,,Takeoff / Launch,,,,,
57,0,0.9129118,993297,US,Aircraft,B767-300 and 300 ER,First Officer, Pilot Flying,,,Climb,,,,,
58,0,0.8592338,993427,US,Aircraft,B737-800,Pilot Flying, Captain,,,Cruise,,,,,
59,0,0.90963995,993688,US,Company Policy,B737-800,Pilot Flying, First Officer,,,Cruise,,,,,
60,3,0.86728185,993783,US,Aircraft,B757-200,Pilot Flying, Captain,,,Final Approach,,,,,
61,1,0.86784524,993879,CA,Ambiguous,B777-200,Pilot Flying, Captain,,,Initial Climb,,,,,
62,0,0.56148124,993957,FO,Aircraft,B747-400,Captain, Pilot Flying,,,Takeoff / Launch,,,,,
63,3,0.8338088,994139,US,Aircraft,B767-300 and 300 ER,First Officer, Pilot Not Flying,,,Takeoff / Launch,,,,,
64,0,0.86866856,994195,Unidentified,Aircraft,B757-200,Captain, Pilot Flying,,,Cruise,,,,,
65,2,0.6794589,994239,US,Aircraft,B747-400,Captain, Pilot Flying,,,Cruise,,,,,
66,3,0.82505924,994493,US,Aircraft,B767-300 and 300 ER,Captain, Pilot Not Flying,,,Climb,,,,,
67,0,0.6739426,994526,FO,Aircraft,B767-300 and 300 ER,Pilot Not Flying, Captain,,,Cruise,,,,,
68,0,0.8778528,994855,CA,Human Factors,B737-700,First Officer, Pilot Not Flying,,,Climb,,,,,
69,0,0.8674887,995034,US,Aircraft,B767-200,Captain,,,,Cruise,,,,,
70,3,0.88746774,995138,US,Aircraft,B757-200,Captain, Pilot Not Flying,,,Initial Climb,,,,,
71,0,0.834208,995144,US,Aircraft,B757-200,Captain, Pilot Not Flying,,,Climb,,,,,
72,3,0.881218,995201,US,Aircraft,B757-200,Pilot Not Flying, First Officer,,,Cruise,,,,,
73,0,0.8558232,995207,US,Aircraft,B757-200,Pilot Flying, Captain,,,Takeoff / Launch,,,,,
74,0,0.9137853,995345,US,Aircraft,B737-300,Pilot Not Flying, Captain,,,Cruise,,,,,
75,2,0.92548126,995679,US,Aircraft,B717 (Formerly MD-95),Pilot Flying, Captain,,,Cruise,,,,,
76,1,0.53431624,995988,CA,Human Factors,B757-200,Supervisor / CIC,,,,Final Approach,,,,,
77,0,0.93045676,996103,VA,Weather,B737-800,Pilot Flying, First Officer,,,Climb,,,,,
78,1,0.76913077,996752,US,Aircraft,B737-400,Captain, Pilot Not Flying,,,Final Approach,,,,,
79,0,0.71388876,996879,US,Ambiguous,B737-800,Pilot Flying, Captain,,,Cruise,,,,,
80,3,0.8884909,997215,US,Aircraft,B757-200,Pilot Not Flying,,,,Cruise,,,,,
81,0,0.510735,997431,US,Human Factors,B737-700,Captain, Pilot Flying,,,Cruise,,,,,
82,0,0.8954973,997739,US,Human Factors,B737-700,First Officer, Pilot Flying,,,Climb,,,,,
83,0,0.6256986,997753,Unidentified,Human Factors,B767-300 and 300 ER,Captain, Pilot Flying,,,Cruise,,,,,
84,3,0.47797874,997801,US,Ambiguous,B737-400,Captain, Pilot Not Flying,,,Cruise,,,,,
85,1,0.7107247,998675,US,Weather,B737-700,First Officer, Pilot Flying,,,Cruise,,,,,
86,1,0.85720456,998790,FO,Aircraft,B747-400,Pilot Not Flying, Captain,,,Takeoff / Launch,,,,,
87,0,0.8591509,998861,WA,Weather,B737 Next Generation Undifferentiated,Pilot Flying, Captain,,,Cruise,,,,,
88,1,0.49366638,999019,CA,Ambiguous,B767-300 and 300 ER,First Officer, Pilot Flying,,,Takeoff / Launch,,,,,
89,0,0.8911188,999255,UT,Ambiguous,B757-200,Captain, Pilot Not Flying,,,Cruise,,,,,
90,0,0.89650184,999257,US,Aircraft,B757-200,Pilot Flying, Captain,,,Climb,,,,,
91,1,0.87876225,999320,FO,ATC Equipment / Nav Facility / Buildings,Boeing Company Undifferentiated or Other Model,Captain, Pilot Not Flying,,,Final Approach,,,,,
92,0,0.84740865,999333,TX,Aircraft,B757-200,Captain, Pilot Not Flying,,,Cruise,,,,,
93,0,0.89242834,999334,US,Aircraft,B767-300 and 300 ER,Pilot Flying, First Officer,,,Cruise,,,,,
94,2,0.8789673,999635,Unidentified,Aircraft,B777 Undifferentiated or Other Model,Flight Attendant (On Duty),,,,Cruise,,,,,
95,0,0.6157113,1000520,US,Aircraft,B757-200,Captain, Pilot Flying,,,Takeoff / Launch,,,,,
96,0,0.904891,1000890,US,Human Factors,B757-200,Other / Unknown,,,,Takeoff / Launch,,,,,
97,0,0.8913247,1000939,US,Aircraft,B737-700,Captain, Pilot Flying,,,Climb,,,,,
98,0,0.92644954,1000954,US,Environment - Non Weather Related,B737-300,Pilot Flying, First Officer,,,Takeoff / Launch,,,,,
99,0,0.67182446,1001201,FO,Aircraft,B767-300 and 300 ER,First Officer, Pilot Not Flying,,,Cruise,,,,,
100,3,0.821331,1001520,US,Human Factors,B767-300 and 300 ER,Pilot Not Flying,,,,Initial Climb,,,,,
101,3,0.750773,1001641,FO,Aircraft,B747-400,Pilot Not Flying, First Officer, Relief Pilot,,Landing,,,,,
102,0,0.8191511,1001907,US,Aircraft,B737-400,Captain,,,,Climb,,,,,
103,0,0.90835434,1002388,US,Human Factors,B737-300,Pilot Not Flying, First Officer,,,Climb,,,,,
104,3,0.88048655,1002407,US,Aircraft,B747-400,Pilot Not Flying, Relief Pilot,,,Initial Climb,,,,,
105,0,0.7982099,1002599,FO,Aircraft,B737-700,Pilot Not Flying, Captain,,,Climb,,,,,
106,1,0.8912816,1002621,US,Procedure,B737-800,Pilot Flying, Captain,,,Taxi,,,,,
107,1,0.8932402,1002623,FO,Procedure,B737-800,First Officer, Pilot Not Flying,,,Climb,,,,,
108,0,0.8453134,1002768,US,Environment - Non Weather Related,B747-400,Captain, Pilot Flying,,,Initial Climb,,,,,
109,1,0.5662867,1002810,FO,Aircraft,B747-400,Captain, Pilot Flying,,,Takeoff / Launch,,,,,
110,0,0.79543436,1003172,US,Procedure,B717 (Formerly MD-95),Pilot Flying, First Officer,,,Takeoff / Launch,,,,,
111,2,0.45529065,1003473,OK,Aircraft,B737-300,First Officer,,,,Landing,,,,,
112,3,0.4968484,1003699,US,Aircraft,B737-700,Captain, Pilot Not Flying,,,Takeoff / Launch,,,,,
113,1,0.5304817,1003819,US,Human Factors,B737 Undifferentiated or Other Model,Oceanic,,,,Final Approach,,,,,
114,0,0.9008679,1004334,FO,Environment - Non Weather Related,B737-800,Captain, Pilot Not Flying,,,Takeoff / Launch,,,,,
115,3,0.87047493,1004338,US,Aircraft,B757-200,Pilot Flying, Captain,,,Cruise,,,,,
116,1,0.84294367,1004356,US,Weather,B737-800,Pilot Flying, First Officer,,,Cruise,,,,,
117,1,0.47652805,1004613,US,Aircraft,B737-400,Captain, Check Pilot,,,Landing, Takeoff / Launch,,,,
118,0,0.90568465,1004952,US,Aircraft,B737-300,Captain,,,,Cruise,,,,,
119,0,0.68324095,1005052,US,Aircraft,B767-300 and 300 ER,Captain, Pilot Not Flying,,,Takeoff / Launch,,,,,
120,1,0.46983597,1005122,US,Human Factors,B737 Undifferentiated or Other Model,Supervisor / CIC,,,,Takeoff / Launch,,,,,
121,3,0.91015685,1005161,US,Aircraft,B757-200,First Officer, Pilot Not Flying,,,Final Approach,,,,,
122,1,0.8674597,1005414,US,Environment - Non Weather Related,B717 (Formerly MD-95),Pilot Not Flying, Captain,,,Climb,,,,,
123,1,0.8959084,1005448,TX,Procedure,B737-800,Captain, Pilot Not Flying,,,Takeoff / Launch,,,,,
124,3,0.70182824,1005738,FO,Aircraft,B757-200,First Officer, Pilot Not Flying,,,Climb,,,,,
125,1,0.85983294,1005860,US,Aircraft,B757-200,Pilot Flying, First Officer,,,Takeoff / Launch,,,,,
126,0,0.8919151,1006068,US,Aircraft,B737-300,Captain, Pilot Not Flying,,,Climb,,,,,
127,0,0.86234194,1006238,US,Human Factors,B737-300,Enroute,,,,Climb,,,,,
128,0,0.5843873,1006454,US,Ambiguous,B737-700,First Officer,,,,Climb,,,,,
129,3,0.48169374,1006455,US,Weather,B737-700,Pilot Flying, Captain,,,Cruise,,,,,
130,1,0.8168433,1006477,US,Human Factors,B737-700,Pilot Flying, Captain,,,Landing,,,,,
131,0,0.64311075,1006485,US,Ambiguous,B767-300 and 300 ER,Pilot Flying, First Officer,,,Takeoff / Launch,,,,,
132,3,0.5382317,1006542,US,Aircraft,B737-800,Pilot Flying, First Officer,,,Climb,,,,,
133,3,0.90286994,1006562,US,Aircraft,B757-200,First Officer, Pilot Flying,,,Cruise,,,,,
134,1,0.87051135,1006747,US,Aircraft,B767-200,First Officer,,,,Cruise,,,,,
135,1,0.52692926,1006925,NM,Human Factors,B737-700,Pilot Flying, Captain,,,Climb,,,,,
136,0,0.8227791,1007019,AK,Ambiguous,B747-400,Captain, Pilot Not Flying,,,Cruise,,,,,
137,2,0.65619284,1007068,TX,Procedure,B777-200,Captain,,,,Climb,,,,,
138,1,0.5296947,1007138,US,Ambiguous,B757-200,Pilot Flying, First Officer,,,Takeoff / Launch,,,,,
139,2,0.6284766,1007148,US,Human Factors,B767-300 and 300 ER,First Officer, Pilot Flying,,,Takeoff / Launch,,,,,
140,1,0.7239789,1007225,FO,Human Factors,B767 Undifferentiated or Other Model,Captain, Pilot Not Flying,,,Cruise,,,,,
141,2,0.88010037,1007283,US,Aircraft,B757 Undifferentiated or Other Model,Flight Attendant In Charge,,,,Cruise,,,,,
142,0,0.5349758,1007417,US,Aircraft,B737-700,Captain, Pilot Not Flying,,,Cruise,,,,,
143,2,0.90739733,1007499,MD,Human Factors,B737 Undifferentiated or Other Model,Traffic Management,,,,Climb,,,,,
144,0,0.90348047,1007559,US,Aircraft,B717 (Formerly MD-95),First Officer, Pilot Not Flying,,,Cruise,,,,,
145,2,0.90941197,1007893,US,Aircraft,B757-200,Captain, Pilot Not Flying,,,Climb,,,,,
146,0,0.8705812,1007905,US,Aircraft,B767-300 and 300 ER,First Officer, Pilot Flying,,,Cruise,,,,,
147,1,0.6015902,1007957,US,Aircraft,B737-800,Captain,,,,Cruise,,,,,
148,0,0.76348686,1008161,FO,Human Factors,B737 Next Generation Undifferentiated,Pilot Flying, First Officer,,,Climb,,,,,
149,0,0.56672543,1008197,FO,Human Factors,B737-800,Pilot Flying, Captain,,,Cruise,,,,,
150,1,0.81962425,1008233,IL,Human Factors,B777 Undifferentiated or Other Model,Pilot Flying, Captain,,,Final Approach,,,,,
151,0,0.8893436,1008237,FO,Aircraft,B777-200,First Officer, Pilot Not Flying,,,Cruise,,,,,
152,0,0.5503978,1008331,US,Aircraft,B757-200,Captain, Pilot Not Flying,,,Cruise,,,,,
153,3,0.88460064,1008567,US,Human Factors,B767-300 and 300 ER,Inspector,,,,Takeoff / Launch,,,,,
154,0,0.79190266,1008708,US,Human Factors,B767-300 and 300 ER,First Officer, Pilot Not Flying,,,Takeoff / Launch,,,,,
155,2,0.87271124,1008802,FO,Equipment / Tooling,B757 Undifferentiated or Other Model,Flight Attendant (On Duty),,,,Cruise,,,,,
156,1,0.84628683,1009076,CA,Ambiguous,B757-200,Captain, Pilot Flying,,,Landing,,,,,
157,3,0.88631666,1009214,CA,Aircraft,B757-200,Pilot Not Flying, Captain,,,Cruise,,,,,
158,0,0.8425403,1009216,Unidentified,Aircraft,B767-300 and 300 ER,Captain, Pilot Flying,,,Cruise,,,,,
159,0,0.6991602,1009224,US,Aircraft,B757-200,Captain, Check Pilot,,,Cruise,,,,,
160,2,0.49086198,1009419,US,Company Policy,B757-200,Pilot Not Flying, Captain,,,Final Approach,,,,,
161,0,0.8584774,1009593,US,Aircraft,B757-200,Pilot Not Flying, First Officer,,,Takeoff / Launch,,,,,
162,1,0.47924075,1009597,US,Aircraft,B757-200,Pilot Flying, First Officer,,,Takeoff / Launch,,,,,
163,0,0.6846457,1010337,US,Aircraft,B737-800,Pilot Not Flying, Captain,,,Climb, Initial Climb,,,,
164,0,0.88169026,1010481,US,Aircraft,B737-300,First Officer, Pilot Not Flying,,,Takeoff / Launch,,,,,
165,2,0.81959736,1010506,US,Ambiguous,B757-200,Captain, Pilot Flying,,,Cruise,,,,,
166,1,0.89323235,1010742,AZ,Human Factors,B737-700,First Officer, Pilot Flying,,,Final Approach, Initial Approach,,,,
167,3,0.8647105,1010815,FO,Aircraft,B767-300 and 300 ER,Dispatcher,,,,Climb,,,,,
168,0,0.9104709,1010891,US,Aircraft,B737-400,First Officer,,,,Climb,,,,,
169,0,0.56608284,1010950,NY,Ambiguous,B737-700,Pilot Flying, Captain,,,Cruise,,,,,
170,0,0.8758168,1011154,CA,Human Factors,B737-300,Local,,,,Initial Climb,,,,,
171,2,0.86609644,1011429,TN,Human Factors,B737 Undifferentiated or Other Model,Enroute,,,,Cruise,,,,,
172,3,0.8269458,1012225,US,Aircraft,B737-500,Captain,,,,Takeoff / Launch,,,,,
173,0,0.45061815,1012235,US,Aircraft,B757-200,Pilot Flying, Captain,,,Final Approach,,,,,
174,2,0.85335046,1012247,US,Aircraft,B757-200,Captain, Pilot Not Flying,,,Cruise,,,,,
175,0,0.63747543,1012348,US,Weather,B717 (Formerly MD-95),Captain, Pilot Flying,,,Climb,,,,,
176,1,0.78335637,1012692,US,Aircraft,B727-200,Captain, Pilot Not Flying,,,Final Approach,,,,,
177,0,0.8358668,1012952,Unidentified,Procedure,B757-200,Flight Attendant (On Duty),,,,Cruise,,,,,
178,0,0.90313524,1013065,TX,Aircraft,B757-200,Captain, Pilot Not Flying,,,Climb,,,,,
179,3,0.5824707,1013541,US,Human Factors,B747-400,Captain, Pilot Not Flying,,,Cruise,,,,,
180,0,0.7775856,1014016,CA,Environment - Non Weather Related,B737-700,Pilot Not Flying, First Officer,,,Climb,,,,,
181,3,0.86442316,1014071,US,Aircraft,B777-200,Pilot Flying, Captain,,,Cruise,,,,,
182,1,0.9055128,1014122,WA,Aircraft,B737-800,First Officer, Pilot Not Flying,,,Takeoff / Launch,,,,,
183,0,0.818165,1014245,US,Aircraft,B737-300,First Officer,,,,Cruise,,,,,
184,0,0.5348612,1014744,US,Human Factors,B777 Undifferentiated or Other Model,Relief Pilot, Pilot Not Flying,,,Cruise,,,,,
185,1,0.8816213,1014917,AZ,Human Factors,B737 Undifferentiated or Other Model,Unidentified,,,,Descent,,,,,
186,0,0.5925692,1015011,OK,Ambiguous,B737 Undifferentiated or Other Model,Captain,,,,Parked, Landing,,,,
187,1,0.89499944,1015020,US,Human Factors,B737-300,Pilot Flying, First Officer,,,Takeoff / Launch,,,,,
188,0,0.8943389,1015034,US,Aircraft,B757-200,Pilot Not Flying, First Officer,,,Cruise,,,,,
189,1,0.530981,1015063,FL,Weather,B737-700,First Officer, Pilot Flying,,,Cruise,,,,,
190,1,0.8626006,1015174,US,Aircraft,B757-200,Pilot Not Flying, First Officer,,,Final Approach,,,,,
191,3,0.5747554,1015295,US,Aircraft,B757-200,First Officer, Pilot Flying,,,Final Approach,,,,,
192,0,0.79263145,1015583,US,Procedure,B737-300,Pilot Not Flying, First Officer,,,Takeoff / Launch,,,,,
193,0,0.87633485,1015869,FO,Weather,B747-400,First Officer, Pilot Not Flying,,,Cruise,,,,,
194,0,0.8762163,1016894,US,Human Factors,B737-800,Enroute, Captain, Pilot Flying,,Climb,,,,,
195,0,0.92873687,1017408,US,Aircraft,B737-300,Captain, Pilot Not Flying,,,Cruise,,,,,
196,2,0.49466452,1017612,FL,Human Factors,B767-300 and 300 ER,Enroute,,,,Climb,,,,,
197,1,0.89361906,1017861,NV,Human Factors,B737 Undifferentiated or Other Model,Local,,,,Landing,,,,,
198,0,0.90362823,1017920,US,Ambiguous,B757-200,Pilot Not Flying, Captain,,,Initial Approach, Final Approach,,,,
199,3,0.84556973,1018150,US,Aircraft,B757-200,First Officer, Pilot Flying,,,Cruise,,,,,
200,3,0.5327746,1018332,US,Aircraft,B737-800,Captain, Pilot Flying,,,Landing,,,,,
201,0,0.88636166,1018376,US,Aircraft,B757-200,First Officer, Pilot Not Flying,,,Takeoff / Launch,,,,,
202,3,0.6057004,1018377,US,Aircraft,B757-200,Captain, Pilot Flying,,,Climb,,,,,
203,0,0.47662434,1018838,US,Aircraft,B737-800,First Officer, Pilot Flying,,,Climb, Initial Climb,,,,
204,2,0.86356103,1019060,US,Aircraft,B737-800,Flight Attendant In Charge,,,,Initial Climb,,,,,
205,0,0.8707468,1019071,US,Human Factors,B767-300 and 300 ER,Technician,,,,Landing,,,,,
206,3,0.8789102,1019072,US,Human Factors,B737-800,Technician,,,,Initial Climb,,,,,
207,0,0.8653655,1019202,US,Aircraft,B757-200,Pilot Flying, Captain,,,Climb,,,,,
208,3,0.68958384,1019477,US,Aircraft,B767-300 and 300 ER,Captain, Pilot Flying,,,Cruise,,,,,
209,2,0.87990725,1019497,US,Procedure,B757-200,Dispatcher,,,,Cruise,,,,,
210,0,0.92443746,1019544,US,Ambiguous,B767-300 and 300 ER,First Officer, Relief Pilot, Pilot Not Flying,,Takeoff / Launch,,,,,
211,0,0.8554647,1019969,US,Aircraft,B767-300 and 300 ER,First Officer, Pilot Not Flying,,,Cruise,,,,,
212,2,0.8987491,1020143,US,Human Factors,B737 Undifferentiated or Other Model,First Officer, Pilot Flying,,,Cruise,,,,,
213,2,0.8628544,1020242,US,Human Factors,B757-300,Lead Technician,,,,Takeoff / Launch,,,,,
214,2,0.9054551,1020446,US,Aircraft,B737 Undifferentiated or Other Model,First Officer, Pilot Flying,,,Initial Climb,,,,,
215,0,0.64225423,1020506,CA,Human Factors,B757-200,Pilot Not Flying, Captain,,,Climb,,,,,
216,1,0.85068744,1020512,CA,Procedure,B757-200,Captain, Pilot Flying,,,Takeoff / Launch,,,,,
217,0,0.89166516,1020811,CO,Procedure,B737-800,Enroute,,,,Initial Climb,,,,,
218,0,0.8483975,1020932,FO,Aircraft,B767 Undifferentiated or Other Model,Captain, Pilot Not Flying,,,Takeoff / Launch,,,,,
219,0,0.9154823,1021091,US,Aircraft,B737-300,First Officer,,,,Climb,,,,,
220,0,0.55074364,1021135,FL,Aircraft,B737-700,Pilot Flying, Captain,,,Cruise,,,,,
221,3,0.7510608,1021250,FO,Aircraft,B747-400,Captain, Pilot Not Flying,,,Cruise,,,,,
222,1,0.9110232,1021634,FO,Human Factors,B747-400,Pilot Not Flying, Relief Pilot,,,Takeoff / Launch,,,,,
223,0,0.5186265,1021639,US,Company Policy,B777 Undifferentiated or Other Model,Captain, Pilot Flying,,,Climb,,,,,
224,0,0.8929271,1022276,US,Aircraft,B737-300,Captain, Pilot Flying,,,Takeoff / Launch,,,,,
225,0,0.38052723,1022509,NM,ATC Equipment / Nav Facility / Buildings,B747-400,Enroute,,,,Cruise,,,,,
226,0,0.7627918,1022567,US,Aircraft,B757-200,Pilot Not Flying, Captain,,,Initial Climb,,,,,
227,0,0.70248115,1022673,CA,Aircraft,B757-200,Pilot Flying, Captain,,,Takeoff / Launch,,,,,
228,1,0.8615264,1022678,US,Aircraft,B757-200,Captain, Pilot Flying,,,Landing,,,,,
229,0,0.9098732,1022690,CA,Equipment / Tooling,B757-200,Captain, Pilot Not Flying,,,Climb,,,,,
230,0,0.8752283,1023758,US,Aircraft,B757-200,Captain, Pilot Flying,,,Initial Climb,,,,,
231,2,0.8637651,1023934,US,Aircraft,B757-200,First Officer, Pilot Not Flying,,,Cruise, Parked,,,,
232,3,0.7361721,1024033,FO,Aircraft,B777-200,Captain,,,,Takeoff / Launch,,,,,
233,0,0.6304619,1024359,US,Aircraft,B757-200,Captain, Pilot Not Flying,,,Climb,,,,,
234,0,0.886633,1024403,AK,Aircraft,B747-400,Pilot Not Flying, Relief Pilot,,,Cruise,,,,,
235,0,0.90665966,1024596,FO,Aircraft,B767-300 and 300 ER,First Officer, Pilot Not Flying,,,Cruise,,,,,
236,0,0.73985994,1024777,US,Aircraft,B767-300 and 300 ER,Relief Pilot, Pilot Not Flying,,,Climb,,,,,
237,0,0.6086088,1024780,US,Procedure,B747-400,Pilot Not Flying, Captain,,,Takeoff / Launch,,,,,
238,3,0.53615457,1024884,US,Aircraft,B737-300,First Officer,,,,Takeoff / Launch,,,,,
239,0,0.83053446,1024957,US,Human Factors,B737 Undifferentiated or Other Model,Approach, Departure,,,Descent,,,,,
240,0,0.90384597,1025086,FO,Human Factors,B747-400,Pilot Not Flying, First Officer,,,Landing,,,,,
241,1,0.9144667,1025207,US,Aircraft,B737-700,Captain, Pilot Not Flying,,,Climb,,,,,
242,0,0.55536526,1025442,CO,Procedure,B737-300,Captain, Pilot Flying,,,Climb,,,,,
243,3,0.9062254,1025444,US,Aircraft,B737-700,Pilot Not Flying, First Officer,,,Cruise,,,,,
244,0,0.70087326,1025460,US,Aircraft,B717 (Formerly MD-95),Captain, Pilot Flying,,,Climb,,,,,
245,3,0.5117149,1026217,US,Aircraft,B737-700,Captain,,,,Climb,,,,,
246,0,0.8835541,1026330,US,Aircraft,B767-300 and 300 ER,Other / Unknown,,,,Climb,,,,,
247,3,0.8906129,1026762,US,Aircraft,B737-700,Pilot Not Flying, Captain,,,Climb,,,,,
248,3,0.86340404,1027017,Unidentified,Aircraft,B757-200,Captain,,,,Cruise,,,,,
249,0,0.4085434,1027023,DC,Ambiguous,Boeing Company Undifferentiated or Other Model,First Officer, Pilot Flying,,,Landing,,,,,
